,0,512,1024,1536,2048,2560,3072,3584,4096,4608,5120,5632,6144,6656,7168,7680,8192,8704
0,"(-97.75669, 30.29507)","(-97.75357468358715, 30.29507)","(-97.75045936717429, 30.29507)","(-97.74734405076143, 30.29507)","(-97.74422873434857, 30.29507)","(-97.74111341793571, 30.29507)","(-97.73799810152285, 30.29507)","(-97.73488278510999, 30.29507)","(-97.73176746869713, 30.29507)","(-97.72865215228427, 30.29507)","(-97.72553683587141, 30.29507)","(-97.72242151945855, 30.29507)","(-97.71930620304569, 30.29507)","(-97.71619088663282, 30.29507)","(-97.71307557021996, 30.29507)","(-97.7099602538071, 30.29507)","(-97.70684493739424, 30.29507)",
512,"(-97.75669, 30.29386391503434)","(-97.75357468358715, 30.29386391503434)","(-97.75045936717429, 30.29386391503434)","(-97.74734405076143, 30.29386391503434)","(-97.74422873434857, 30.29386391503434)","(-97.74111341793571, 30.29386391503434)","(-97.73799810152285, 30.29386391503434)","(-97.73488278510999, 30.29386391503434)","(-97.73176746869713, 30.29386391503434)","(-97.72865215228427, 30.29386391503434)","(-97.72553683587141, 30.29386391503434)","(-97.72242151945855, 30.29386391503434)","(-97.71930620304569, 30.29386391503434)","(-97.71619088663282, 30.29386391503434)","(-97.71307557021996, 30.29386391503434)","(-97.7099602538071, 30.29386391503434)","(-97.70684493739424, 30.29386391503434)",
1024,"(-97.75669, 30.292657830068684)","(-97.75357468358715, 30.292657830068684)","(-97.75045936717429, 30.292657830068684)","(-97.74734405076143, 30.292657830068684)","(-97.74422873434857, 30.292657830068684)","(-97.74111341793571, 30.292657830068684)","(-97.73799810152285, 30.292657830068684)","(-97.73488278510999, 30.292657830068684)","(-97.73176746869713, 30.292657830068684)","(-97.72865215228427, 30.292657830068684)","(-97.72553683587141, 30.292657830068684)","(-97.72242151945855, 30.292657830068684)","(-97.71930620304569, 30.292657830068684)","(-97.71619088663282, 30.292657830068684)","(-97.71307557021996, 30.292657830068684)","(-97.7099602538071, 30.292657830068684)","(-97.70684493739424, 30.292657830068684)",
1536,"(-97.75669, 30.291451745103025)","(-97.75357468358715, 30.291451745103025)","(-97.75045936717429, 30.291451745103025)","(-97.74734405076143, 30.291451745103025)","(-97.74422873434857, 30.291451745103025)","(-97.74111341793571, 30.291451745103025)","(-97.73799810152285, 30.291451745103025)","(-97.73488278510999, 30.291451745103025)","(-97.73176746869713, 30.291451745103025)","(-97.72865215228427, 30.291451745103025)","(-97.72553683587141, 30.291451745103025)","(-97.72242151945855, 30.291451745103025)","(-97.71930620304569, 30.291451745103025)","(-97.71619088663282, 30.291451745103025)","(-97.71307557021996, 30.291451745103025)","(-97.7099602538071, 30.291451745103025)","(-97.70684493739424, 30.291451745103025)",
2048,"(-97.75669, 30.29024566013737)","(-97.75357468358715, 30.29024566013737)","(-97.75045936717429, 30.29024566013737)","(-97.74734405076143, 30.29024566013737)","(-97.74422873434857, 30.29024566013737)","(-97.74111341793571, 30.29024566013737)","(-97.73799810152285, 30.29024566013737)","(-97.73488278510999, 30.29024566013737)","(-97.73176746869713, 30.29024566013737)","(-97.72865215228427, 30.29024566013737)","(-97.72553683587141, 30.29024566013737)","(-97.72242151945855, 30.29024566013737)","(-97.71930620304569, 30.29024566013737)","(-97.71619088663282, 30.29024566013737)","(-97.71307557021996, 30.29024566013737)","(-97.7099602538071, 30.29024566013737)","(-97.70684493739424, 30.29024566013737)",
2560,"(-97.75669, 30.28903957517171)","(-97.75357468358715, 30.28903957517171)","(-97.75045936717429, 30.28903957517171)","(-97.74734405076143, 30.28903957517171)","(-97.74422873434857, 30.28903957517171)","(-97.74111341793571, 30.28903957517171)","(-97.73799810152285, 30.28903957517171)","(-97.73488278510999, 30.28903957517171)","(-97.73176746869713, 30.28903957517171)","(-97.72865215228427, 30.28903957517171)","(-97.72553683587141, 30.28903957517171)","(-97.72242151945855, 30.28903957517171)","(-97.71930620304569, 30.28903957517171)","(-97.71619088663282, 30.28903957517171)","(-97.71307557021996, 30.28903957517171)","(-97.7099602538071, 30.28903957517171)","(-97.70684493739424, 30.28903957517171)",
3072,"(-97.75669, 30.287833490206054)","(-97.75357468358715, 30.287833490206054)","(-97.75045936717429, 30.287833490206054)","(-97.74734405076143, 30.287833490206054)","(-97.74422873434857, 30.287833490206054)","(-97.74111341793571, 30.287833490206054)","(-97.73799810152285, 30.287833490206054)","(-97.73488278510999, 30.287833490206054)","(-97.73176746869713, 30.287833490206054)","(-97.72865215228427, 30.287833490206054)","(-97.72553683587141, 30.287833490206054)","(-97.72242151945855, 30.287833490206054)","(-97.71930620304569, 30.287833490206054)","(-97.71619088663282, 30.287833490206054)","(-97.71307557021996, 30.287833490206054)","(-97.7099602538071, 30.287833490206054)","(-97.70684493739424, 30.287833490206054)",
3584,"(-97.75669, 30.286627405240395)","(-97.75357468358715, 30.286627405240395)","(-97.75045936717429, 30.286627405240395)","(-97.74734405076143, 30.286627405240395)","(-97.74422873434857, 30.286627405240395)","(-97.74111341793571, 30.286627405240395)","(-97.73799810152285, 30.286627405240395)","(-97.73488278510999, 30.286627405240395)","(-97.73176746869713, 30.286627405240395)","(-97.72865215228427, 30.286627405240395)","(-97.72553683587141, 30.286627405240395)","(-97.72242151945855, 30.286627405240395)","(-97.71930620304569, 30.286627405240395)","(-97.71619088663282, 30.286627405240395)","(-97.71307557021996, 30.286627405240395)","(-97.7099602538071, 30.286627405240395)","(-97.70684493739424, 30.286627405240395)",
4096,"(-97.75669, 30.28542132027474)","(-97.75357468358715, 30.28542132027474)","(-97.75045936717429, 30.28542132027474)","(-97.74734405076143, 30.28542132027474)","(-97.74422873434857, 30.28542132027474)","(-97.74111341793571, 30.28542132027474)","(-97.73799810152285, 30.28542132027474)","(-97.73488278510999, 30.28542132027474)","(-97.73176746869713, 30.28542132027474)","(-97.72865215228427, 30.28542132027474)","(-97.72553683587141, 30.28542132027474)","(-97.72242151945855, 30.28542132027474)","(-97.71930620304569, 30.28542132027474)","(-97.71619088663282, 30.28542132027474)","(-97.71307557021996, 30.28542132027474)","(-97.7099602538071, 30.28542132027474)","(-97.70684493739424, 30.28542132027474)",
4608,"(-97.75669, 30.28421523530908)","(-97.75357468358715, 30.28421523530908)","(-97.75045936717429, 30.28421523530908)","(-97.74734405076143, 30.28421523530908)","(-97.74422873434857, 30.28421523530908)","(-97.74111341793571, 30.28421523530908)","(-97.73799810152285, 30.28421523530908)","(-97.73488278510999, 30.28421523530908)","(-97.73176746869713, 30.28421523530908)","(-97.72865215228427, 30.28421523530908)","(-97.72553683587141, 30.28421523530908)","(-97.72242151945855, 30.28421523530908)","(-97.71930620304569, 30.28421523530908)","(-97.71619088663282, 30.28421523530908)","(-97.71307557021996, 30.28421523530908)","(-97.7099602538071, 30.28421523530908)","(-97.70684493739424, 30.28421523530908)",
5120,"(-97.75669, 30.283009150343425)","(-97.75357468358715, 30.283009150343425)","(-97.75045936717429, 30.283009150343425)","(-97.74734405076143, 30.283009150343425)","(-97.74422873434857, 30.283009150343425)","(-97.74111341793571, 30.283009150343425)","(-97.73799810152285, 30.283009150343425)","(-97.73488278510999, 30.283009150343425)","(-97.73176746869713, 30.283009150343425)","(-97.72865215228427, 30.283009150343425)","(-97.72553683587141, 30.283009150343425)","(-97.72242151945855, 30.283009150343425)","(-97.71930620304569, 30.283009150343425)","(-97.71619088663282, 30.283009150343425)","(-97.71307557021996, 30.283009150343425)","(-97.7099602538071, 30.283009150343425)","(-97.70684493739424, 30.283009150343425)",
5632,"(-97.75669, 30.281803065377765)","(-97.75357468358715, 30.281803065377765)","(-97.75045936717429, 30.281803065377765)","(-97.74734405076143, 30.281803065377765)","(-97.74422873434857, 30.281803065377765)","(-97.74111341793571, 30.281803065377765)","(-97.73799810152285, 30.281803065377765)","(-97.73488278510999, 30.281803065377765)","(-97.73176746869713, 30.281803065377765)","(-97.72865215228427, 30.281803065377765)","(-97.72553683587141, 30.281803065377765)","(-97.72242151945855, 30.281803065377765)","(-97.71930620304569, 30.281803065377765)","(-97.71619088663282, 30.281803065377765)","(-97.71307557021996, 30.281803065377765)","(-97.7099602538071, 30.281803065377765)","(-97.70684493739424, 30.281803065377765)",
6144,"(-97.75669, 30.28059698041211)","(-97.75357468358715, 30.28059698041211)","(-97.75045936717429, 30.28059698041211)","(-97.74734405076143, 30.28059698041211)","(-97.74422873434857, 30.28059698041211)","(-97.74111341793571, 30.28059698041211)","(-97.73799810152285, 30.28059698041211)","(-97.73488278510999, 30.28059698041211)","(-97.73176746869713, 30.28059698041211)","(-97.72865215228427, 30.28059698041211)","(-97.72553683587141, 30.28059698041211)","(-97.72242151945855, 30.28059698041211)","(-97.71930620304569, 30.28059698041211)","(-97.71619088663282, 30.28059698041211)","(-97.71307557021996, 30.28059698041211)","(-97.7099602538071, 30.28059698041211)","(-97.70684493739424, 30.28059698041211)",
6656,"(-97.75669, 30.27939089544645)","(-97.75357468358715, 30.27939089544645)","(-97.75045936717429, 30.27939089544645)","(-97.74734405076143, 30.27939089544645)","(-97.74422873434857, 30.27939089544645)","(-97.74111341793571, 30.27939089544645)","(-97.73799810152285, 30.27939089544645)","(-97.73488278510999, 30.27939089544645)","(-97.73176746869713, 30.27939089544645)","(-97.72865215228427, 30.27939089544645)","(-97.72553683587141, 30.27939089544645)","(-97.72242151945855, 30.27939089544645)","(-97.71930620304569, 30.27939089544645)","(-97.71619088663282, 30.27939089544645)","(-97.71307557021996, 30.27939089544645)","(-97.7099602538071, 30.27939089544645)","(-97.70684493739424, 30.27939089544645)",
